Floor,Kitchen type,Bedrooms,Bathrooms,Toilets,Office,Armored door,Primary energy consumption,Energy class,CO₂ emission,Heating type,Heat pump,Thermic solar panels,Double glazing,Monthly rental price,Monthly costs,Tenement building,price,listing_type,Number of floors,Number of frontages,Living area,Living room surface,Bedroom 1 surface,Bedroom 2 surface,Furnished,Terrace surface,Intercom,Visio phone,agency,Construction year,Building condition,Basement,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Available as of,Kitchen surface,Shower rooms,Surroundings type,Zip_Code,State_Name
2.0,USA installed,1.0,1.0,1.0,No,No,,Not specified,,Gas,No,No,Yes,750.0,30.0,No,780.0,Apartment for rent,,,,,,,,,,,,,,,,,,,,,,,,1190,Forest
3.0,Installed,1.0,,1.0,No,No,,Not specified,,Gas,No,No,Yes,950.0,,No,,Studio for rent,3.0,2.0,45.0,,20.0,,Yes,8.0,Yes,Yes,,,Just renovated,,No,No,No,Yes,No,Immediately,15.0,1.0,Landscape,1190,Forest
3.0,Hyper equipped,2.0,1.0,1.0,No,No,,Not specified,,Gas,No,No,Yes,1950.0,,No,,Penthouse for rent,3.0,2.0,110.0,15.0,16.0,10.0,Yes,40.0,Yes,Yes,,2015.0,Just renovated,,No,No,No,Yes,No,Immediately,20.0,,Landscape,1190,Forest
2.0,Installed,1.0,,1.0,No,No,,Not specified,,Gas,No,No,Yes,750.0,,No,,Apartment for rent,3.0,2.0,54.0,15.0,14.0,,,,Yes,No,,2009.0,As new,,No,No,No,No,No,Immediately,6.0,1.0,,1190,Forest
3.0,Hyper equipped,2.0,1.0,1.0,,,240.0,E,,Gas,,,Yes,835.0,,No,,Apartment for rent,4.0,,80.0,35.0,,,Yes,12.0,,,Century 21 A à Z Immobilier,,As new,Yes,Yes,,,,,,,,,1190,Forest
3.0,,2.0,,1.0,No,Yes,,Not specified,,,No,No,Yes,850.0,85.0,No,935.0,Apartment for rent,,,,,,,,1.0,Yes,No,,,,Yes,Yes,No,No,No,No,,,1.0,,1190,Forest
2.0,Installed,1.0,1.0,1.0,,,156.0,D,31.0,Gas,,,,950.0,50.0,No,1000.0,Apartment for rent,3.0,2.0,57.0,30.0,9.0,,,2.0,Yes,,DLDproperties,1940.0,Just renovated,,No,No,,Yes,,To be defined,5.0,1.0,Urban,1190,Forest
5.0,USA hyper equipped,3.0,3.0,3.0,,Yes,169.0,D,32.0,Gas,,,Yes,4000.0,200.0,No,4200.0,Penthouse for rent,5.0,,150.0,,15.0,15.0,Yes,55.0,Yes,,Delogne & Partners,1930.0,As new,,Yes,Yes,Yes,,No,After signing the deed,,3.0,Urban,1190,Forest
6.0,Hyper equipped,2.0,1.0,1.0,,,,Not specified,,Gas,,,Yes,850.0,,No,,Apartment for rent,6.0,2.0,60.0,25.0,12.0,10.0,No,,Yes,,MYIMMO Altitude,1962.0,Good,Yes,Yes,,,,No,Immediately,6.0,1.0,Urban,1190,Forest
2.0,Installed,,1.0,1.0,No,No,,Not specified,,Electric,No,No,No,660.0,50.0,No,710.0,Studio for rent,3.0,2.0,44.0,,,,,,Yes,No,,,Good,,Yes,No,No,No,No,,,,"Living area (residential, urban or rural)",1190,Forest
