Type,Bedrooms,Bathrooms,Surface,Price,Price_per_m²,City,Zip_code,Region,Longitude,Latitude,Geographic_coordinates
 Maison,2,1,70,30000,428.57,Lessines,7860,Région wallonne,3.8301131,50.7123036,"50.7123036, 3.8301131"
 Appartement,2,1,92,30000,326.09,Malines,2800,Région flamande,4.471321199996,51.02803335,"51.02803335, 4.471321199996"
 Appartement,2,1,92,30000,326.09,Malines,2800,Région flamande,4.4568748,51.0657941,"51.0657941, 4.4568748"
 Appartement,1,1,38,34000,894.74,La calamine,4720,Région wallonne,6.013341,50.7154957,"50.7154957, 6.013341"
 Châlet,1,1,31,35000,1129.03,Aywaille,4920,Région wallonne,5.6742167,50.4734827,"50.4734827, 5.6742167"
 Maison quatre façades,2,1,49,40000,816.33,Roly,5600,Région wallonne,4.5381501,50.1356527,"50.1356527, 4.5381501"
 Maison,2,1,110,40000,363.64,Flémalle,4400,Région wallonne,5.4580872,50.6022808,"50.6022808, 5.4580872"
 Maison Trois Façades,4,3,166,40000,240.96,Couvin,5660,Région wallonne,4.4955009,50.0524906,"50.0524906, 4.4955009"
 Maison,1,1,72,40000,555.56,Elouges,7370,Région wallonne,3.7521047,50.4036968,"50.4036968, 3.7521047"
 Maison Trois Façades,1,1,58,42000,724.14,Nismes,5670,Région wallonne,4.5486173,50.0745275,"50.0745275, 4.5486173"
 Maison,2,2,40,44000,1100.0,Wiers,7608,Région wallonne,3.533035,50.508665,"50.508665, 3.533035"
 Maison,2,1,68,45000,661.76,Herstal,4040,Région wallonne,5.6403906,50.6701887,"50.6701887, 5.6403906"
 Maison,1,1,51,49000,960.78,Fontaine-L'Evêque,6140,Région wallonne,4.3239637925238,50.411224661019,"50.411224661019, 4.3239637925238"
 Appartement,1,1,45,49000,1088.89,Houdeng-Goegnies,7110,Région wallonne,4.1575303,50.4879863,"50.4879863, 4.1575303"
 Maison,1,1,79,49500,626.58,Charleroi,6000,Région wallonne,4.4491649999234,50.41571025,"50.41571025, 4.4491649999234"
 Appartement,2,1,77,50000,649.35,Liège,4020,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Appartement,2,1,77,50000,649.35,Liège,4000,Région wallonne,5.5734203,50.6451381,"50.6451381, 5.5734203"
 Maison,3,2,150,50000,333.33,Quaregnon,7390,Région wallonne,3.8636971,50.4421804,"50.4421804, 3.8636971"
