Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,30 000 ,Lessines,2,1,70 m²
 Appartement,30 000 ,Malines,2,1,92 m²
 Appartement,34 000 ,La calamine,1,1,38 m²
 Châlet,35 000 ,Aywaille,1,1,31 m²
 Maison quatre façades,40 000 ,Roly,2,1,49 m²
 Maison,40 000 ,Flémalle,2,1,110 m²
 Maison Trois Façades,40 000 ,Couvin,4,3,166 m²
 Maison,40 000 ,Elouges,1,1,72 m²
 Maison Trois Façades,42 000 ,Nismes,1,1,58 m²
 Maison,44 000 ,Wiers,2,2,40 m²
 Maison,45 000 ,Herstal,2,1,68 m²
 Appartement,49 000 ,Houdeng-Goegnies,1,1,45 m²
 Maison,49 000 ,Fontaine-L'Evêque,1,1,51 m²
 Maison,49 500 ,Charleroi,1,1,79 m²
 Appartement,50 000 ,Liège,2,1,77 m²
 Maison,50 000 ,Quaregnon,3,2,150 m²
 Maison,50 000 ,Montignies-Sur-Sambre,1,1,44 m²
 Maison,55 000 ,Dour,2,1,84 m²
 Maison,55 000 ,Marcinelle,2,1,92 m²
 Bungalow,56 000 ,Xhoris,2,1,220 m²
 Maison,58 000 ,Blaimont,2,1,42 m²
 Maison,59 000 ,Marchienne-Au-Pont,2,1,65 m²
 Maison,59 000 ,Marcinelle,1,1,78 m²
 Maison,59 000 ,Gaurain-Ramecroix,1,1,130 m²
 Maison,59 000 ,Montignies-Sur-Sambre,2,1,63 m²
 Maison,59 000 ,Templeuve,2,1,120 m²
 Maison,59 000 ,Ougrée,2,1,74 m²
 Maison,59 000 ,Souvret,2,1,49 m²
 Duplex,59 000 ,Waimes,2,1,108 m²
 Maison,59 500 ,Montignies-Sur-Sambre,1,1,84 m²
 Appartement,59 999 ,Monceau-Sur-Sambre,3,1,83 m²
 Appartement,59 999 ,Jumet,1,1,57 m²
 Maison,59 999 ,Jumet,2,1,67 m²
 Maison,60 000 ,Jumet,4,1,140 m²
 Appartement,60 000 ,Tournai,1,1,16 m²
 Maison,60 000 ,Erquelinnes,1,1,75 m²
 Maison,60 000 ,Sirault,1,1,69 m²
 Bungalow,60 000 ,Macon,4,1,45 m²
 Maison,60 000 ,Gozée,5,1,213 m²
 Maison,60 000 ,Farciennes,2,1,100 m²
 Maison,60 000 ,Farciennes,2,1,100 m²
 Maison,64 000 ,Boussu,1,1,50 m²
 Maison,64 500 ,Pepinster,4,1,120 m²
 Maison,64 900 ,Gosselies,2,1,80 m²
 Appartement,65 000 ,Verviers,1,1,30 m²
 Appartement,65 000 ,Thimougies,4,1,200 m²
 Maison,65 000 ,Blaimont,2,1,42 m²
 Maison,65 000 ,Thy-Le-Château,3,1,210 m²
 Maison,65 000 ,Colfontaine,1,1,70 m²
 Maison,65 000 ,La Bouverie,3,1,93 m²
 Maison,65 000 ,Dour,3,1,189 m²
 Maison de rangée,65 000 ,Limal,1,1,39 m²
 Maison,66 999 ,Bouffioulx,3,1,97 m²
 Appartement,68 000 ,Montignies-Sur-Sambre,2,1,65 m²
 Maison,69 000 ,Monceau-Sur-Sambre,2,1,54 m²
 Maison,69 000 ,Charleroi,3,1,95 m²
 Maison,69 000 ,Fleurus,2,1,130 m²
 Maison,69 000 ,Ressaix,2,1,130 m²
 Appartement,69 000 ,Liège,1,1,28 m²
 Maison,69 000 ,Brugelette,2,1,128 m²
 Maison,69 500 ,Péruwelz,2,1,85 m²
 Maison,69 500 ,Blaimont,2,1,42 m²
 Maison,69 995 ,Wasmes,2,1,83 m²
 Appartement,70 000 ,Tournai,1,1,25 m²
 Maison,70 000 ,Frameries,2,1,111 m²
 Maison quatre façades,70 000 ,Saive,4,1,208 m²
 Appartement,70 000 ,Beauraing,1,1,32 m²
 Maison de rangée,70 000 ,Châtelet,2,1,146 m²
 Maison,70 000 ,Grâce-Hollogne,2,1,79 m²
 Studio,70 000 ,Sint-Andries,1,1,15 m²
 Maison,70 000 ,Baudour,2,1,69 m²
 Maison,70 000 ,Ougrée,2,1,75 m²
 Maison,70 000 ,Vaux-Sous-Chèvremont,1,1,66 m²
 Maison,71 000 ,Grâce-Hollogne,2,1,35 m²
 Maison,74 500 ,Jemeppe-Sur-Meuse,2,1,117 m²
 Maison,74 900 ,Courcelles,1,1,60 m²
 Maison,74 900 ,Marchienne-Au-Pont,2,1,89 m²
 Maison,74 999 ,Couillet,2,1,105 m²
 Appartement,74 999 ,Charleroi,2,1,60 m²
 Appartement,75 000 ,Charleroi,1,1,45 m²
 Appartement,75 000 ,Marcinelle,2,1,80 m²
 Maison,75 000 ,Châtelet,2,2,87 m²
 Maison,75 000 ,Flénu,1,1,60 m²
 Maison,75 000 ,Charleroi,2,1,64 m²
 Maison Trois Façades,75 000 ,Jemappes,3,1,139 m²
 Maison,75 000 ,Verviers,6,1,151 m²
 Maison,75 000 ,Saint-Hubert,3,1,140 m²
 Maison,75 000 ,Haine-Saint-Paul,2,1,92 m²
 Appartement,75 000 ,Nivelles,1,1,24 m²
 Bungalow,75 000 ,Vergnies,2,1,58 m²
 Maison,75 000 ,Boussu,2,1,88 m²
 Maison,75 000 ,Le Roeulx,2,1,145 m²
 Maison,75 000 ,Dour,3,1,117 m²
 Maison,75 000 ,Villerot,3,1,143 m²
